year,month,state,gender,value
2036,March,Assam,Male,3475
2036,March,Assam,Female,3287
2036,March,Arunachal Pradesh,Total,491
2036,March,Arunachal Pradesh,Male,260
2036,March,Arunachal Pradesh,Female,231
2036,March,Andhra Pradesh,Total,24272
2036,March,Andhra Pradesh,Male,12215
2036,March,Andhra Pradesh,Female,12057
2036,March,Andaman and Nicobar Islands,Total,213
2036,March,Andaman and Nicobar Islands,Male,114
2036,March,Andaman and Nicobar Islands,Female,99
2036,March,All India,Total,594566
2036,March,All India,Male,308634
2036,March,All India,Female,285932
2036,July,West Bengal,Total,43831
2036,July,West Bengal,Male,22547
2036,July,West Bengal,Female,21284
2036,July,Uttarakhand,Total,5481
2036,July,Uttarakhand,Male,2909
2036,July,Uttarakhand,Female,2572
2036,July,Uttar Pradesh,Total,67324
2036,July,Uttar Pradesh,Male,35546
2036,July,Uttar Pradesh,Female,31778
2036,July,Tripura,Total,2482
2036,July,Tripura,Male,1258
2036,July,Tripura,Female,1224
2036,July,Telangana,Total,22733
2036,July,Telangana,Male,11441
2036,July,Telangana,Female,11292
2036,July,Tamil Nadu,Total,46675
2036,July,Tamil Nadu,Male,23337
2036,July,Tamil Nadu,Female,23337
2036,July,Sikkim,Total,572
2036,July,Sikkim,Male,299
2036,July,Sikkim,Female,273
2036,July,Rajasthan,Total,25870
2036,July,Rajasthan,Male,13516
2036,July,Rajasthan,Female,12354
2036,July,Punjab,Total,15284
2036,July,Punjab,Male,8152
2036,July,Punjab,Female,7133
2036,July,Puducherry,Total,1579
2036,July,Puducherry,Male,773
2036,July,Puducherry,Female,806
2036,July,Odisha,Total,10476
2036,July,Odisha,Male,5422
2036,July,Odisha,Female,5054
2036,July,Nagaland,Total,1595
2036,July,Nagaland,Male,836
2036,July,Nagaland,Female,759
2036,July,Mizoram,Total,794
2036,July,Mizoram,Male,397
2036,July,Mizoram,Female,397
2036,July,Meghalaya,Total,787
2036,July,Meghalaya,Male,393
2036,July,Meghalaya,Female,394
2036,July,Manipur,Total,1280
2036,July,Manipur,Male,632
2036,July,Manipur,Female,648
2036,July,Maharashtra,Total,71462
2036,July,Maharashtra,Male,37552
2036,July,Maharashtra,Female,33910
2036,July,Madhya Pradesh,Total,29840
2036,July,Madhya Pradesh,Male,15558
2036,July,Madhya Pradesh,Female,14282
2036,July,Lakshadweep,Total,71
2036,July,Lakshadweep,Male,37
2036,July,Lakshadweep,Female,34
2036,July,Ladakh,Total,130
2036,July,Ladakh,Male,85
2036,July,Ladakh,Female,45
2036,July,Kerala,Total,35803
2036,July,Kerala,Male,17123
2036,July,Kerala,Female,18681
2036,July,Karnataka,Total,36671
2036,July,Karnataka,Male,18681
2036,July,Karnataka,Female,17990
2036,July,Jharkhand,Total,12877
2036,July,Jharkhand,Male,6742
2036,July,Jharkhand,Female,6135
2036,July,Jammu and Kashmir,Total,5026
2036,July,Jammu and Kashmir,Male,2721
